epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.112,0.93012,3.10383,1.05998,0.00672,1,0.95879,0.77288,0.6609,3.06676,0.82813,0.00024,0.00024,0.00024
2,98.9763,1.31932,2.90219,2.28468,0.12325,0.04082,0.10849,0.07228,1.18377,3.89701,1.88666,0.00100317,0.00100317,0.00100317
3,193.35,1.07798,2.00393,1.40338,0.12734,0.26531,0.09472,0.05024,1.2735,4.11396,1.99661,0.00148918,0.00148918,0.00148918
4,291.264,1.07938,1.74091,1.29606,0.28925,0.44898,0.31342,0.20021,1.22519,3.00533,1.50294,0.001901,0.001901,0.001901
5,385.041,1.02209,1.58013,1.30555,0.61719,0.65815,0.59772,0.45256,1.14491,2.65227,1.53145,0.001868,0.001868,0.001868
6,479.214,1.01665,1.54893,1.33144,0.75825,0.77551,0.81307,0.63262,1.02952,2.49443,1.3708,0.001835,0.001835,0.001835
7,571.785,0.96025,1.36886,1.25056,0.94565,0.71025,0.84956,0.65874,0.94997,2.08178,1.30661,0.001802,0.001802,0.001802
8,665.243,0.95685,1.26942,1.26671,0.95904,0.95576,0.95965,0.73094,0.91256,1.51936,1.2669,0.001769,0.001769,0.001769
9,759.499,0.95634,1.29355,1.31173,0.90249,0.94449,0.9598,0.73861,0.97777,1.41715,1.25536,0.001736,0.001736,0.001736
10,854.149,0.96053,1.20511,1.23716,0.97853,0.93009,0.96905,0.7409,0.90619,1.32913,1.22063,0.001703,0.001703,0.001703
11,951.376,0.91211,1.08342,1.22005,0.9348,0.95918,0.95749,0.6706,0.95024,1.27912,1.22972,0.00167,0.00167,0.00167
12,1047.36,0.8809,1.00455,1.16709,0.86747,0.9351,0.94046,0.70095,1.01481,1.36556,1.29923,0.001637,0.001637,0.001637
13,1143.56,0.91042,1.00284,1.17707,0.98907,0.93878,0.9667,0.75549,0.92183,1.10867,1.17901,0.001604,0.001604,0.001604
14,1237.47,0.94242,0.9946,1.20844,0.92244,0.97102,0.98242,0.76822,0.90601,0.95647,1.19487,0.001571,0.001571,0.001571
15,1332.38,0.92017,0.89344,1.21252,0.9795,0.97518,0.98571,0.80449,0.80277,0.83985,1.12172,0.001538,0.001538,0.001538
16,1428.66,0.88474,0.85366,1.19038,0.94108,0.97791,0.96945,0.7872,0.82869,0.91235,1.17879,0.001505,0.001505,0.001505
17,1533.08,0.85015,0.76214,1.14719,0.95638,0.95918,0.99049,0.80213,0.86787,0.80714,1.18961,0.001472,0.001472,0.001472
