epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.759,1.05529,3.04057,1.19264,1,0.10045,0.48834,0.37057,0.76977,3.1485,1.04394,0.00043342,0.00043342,0.00043342
2,221.246,0.96496,2.05596,1.14238,0.97157,0.2,0.62448,0.4538,0.89144,3.08315,1.1053,0.000866017,0.000866017,0.000866017
3,325.771,1.0314,1.98638,1.17683,0.54678,0.45111,0.48106,0.35911,0.99338,2.54491,1.20338,0.00128079,0.00128079,0.00128079
4,429.454,1.07394,2.10343,1.22948,0.65269,0.45152,0.51504,0.37886,1.10416,2.53501,1.29989,0.00156798,0.00156798,0.00156798
5,531.669,1.10335,1.9347,1.21189,0.70265,0.57171,0.64365,0.45106,1.0494,2.54268,1.27067,0.00153497,0.00153497,0.00153497
6,633.152,1.10792,1.89259,1.24622,0.72844,0.57712,0.6206,0.4386,1.09304,2.30267,1.27038,0.00150197,0.00150197,0.00150197
7,735.021,1.06371,1.72709,1.20449,0.80122,0.68788,0.74073,0.55441,0.94396,2.09639,1.1646,0.00146896,0.00146896,0.00146896
8,837.524,1.01552,1.72617,1.16738,0.78556,0.69899,0.75484,0.5669,0.94026,2.09275,1.15605,0.00143595,0.00143595,0.00143595
9,943.297,1.09906,1.65211,1.21192,0.83748,0.6596,0.75353,0.58523,0.89005,2.22792,1.14913,0.00140295,0.00140295,0.00140295
10,1049.45,1.02341,1.53425,1.1614,0.73423,0.69192,0.71631,0.52305,0.97621,2.0493,1.18189,0.00136994,0.00136994,0.00136994
11,1149.85,0.98152,1.45661,1.15163,0.7747,0.63379,0.72103,0.56133,0.88274,1.71888,1.0943,0.00133693,0.00133693,0.00133693
12,1250.88,0.98782,1.41392,1.13096,0.81475,0.76181,0.81201,0.60196,0.92421,1.60933,1.13373,0.00130393,0.00130393,0.00130393
13,1350.93,0.97213,1.35317,1.1685,0.70184,0.7404,0.78806,0.59998,0.84409,1.71628,1.10568,0.00127092,0.00127092,0.00127092
14,1450.64,0.9116,1.36201,1.12898,0.94137,0.70707,0.83984,0.63987,0.85283,1.39182,1.106,0.00123791,0.00123791,0.00123791
